
  18   			  2 			      19.07
  3   		    	  1 		    	   4.71
  6   		    	  2 		    	   7.5
  9   		    	  3 		    	   8.26
  0   		    	  1 		    	   1.18
  2   		    	  1 		    	   2.17
  3   		    	  2 		    	   3.63
  0   		    	  2 		    	   1.05
  4   		    	  2 		    	   5.34
  2   		    	  3 		    	   2.35
  0   		    	  3 		    	   0.86
  0   		    	  3 		    	   0.93
  4   		    	  3 		    	   4.12
  3   		    	  1 		    	   5.11
  7   		    	  1 		    	   9.81
  14   		    	  1 		    	   20.73
  16   		    	  1 		    	   22.61
  0   		    	  1 		    	   1.02
  8   		    	  1 		    	   12.15
  0   		    	  1 		    	   0.34
  15   		    	  1 		    	   35.83
  2   		    	  1 		    	   5.75
  26   		    	  1 		    	   45.09
  0   		    	  1 		    	   0.67
  0   		    	  1 		    	   1.01
  18   		    	  1 		    	   26.02
  0   		    	  1 		    	   1.01
  4   		    	  1 		    	   6.53
  1   		    	  1 		    	   2.22
  2   		    	  1 		    	   2.95
  1   		    	  1 		    	   0.84
  5   		    	  1 		    	   8.56
  16   		    	  1 		    	   24.05
  5   		    	  3 		    	   5.0
  0   		    	  3 		    	   0.85
  0   		    	  3 		    	   0.43
  37   		    	  3 		    	   30.78
  2   		    	  3 		    	   2.53
  3   		    	  3 		    	   2.8
  0   		    	  3 		    	   1.05
  0   		    	  3 		    	   0.39
  1   		    	  3 		    	   1.52
  57   		    	  3 		    	   46.62
  37   		    	  3 		    	   30.82
  5   		    	  3 		    	   5.01
  0   		    	  3 		    	   1.18
  1   		    	  3 		    	   1.19
  2   		    	  3 		    	   2.49
  0   		    	  3 		    	   1.15
  2   		    	  3 		    	   1.85
  0   		    	  3 		    	   0.54
  14   		    	  3 		    	   12.19
  21   		    	  3 		    	   17.25
  2   		    	  3 		    	   2.18
  14   		    	  3 		    	   11.95
  0   		    	  3 		    	   0.87
  1   		    	  3 		    	   1.69
  0   		    	  3 		    	   0.92
  0   		    	  3 		    	   0.87
  21   		    	  3 		    	   17.62
  33   		    	  3 		    	   27.76
  9   		    	  1 		    	   13.63
  3   		    	  1 		    	   5.15
  3   		    	  1 		    	   5.25
  1   		    	  1 		    	   1.56
  70   		    	  1 		    	   111.76
  203   		    	  3 		    	   164.79
  11   		    	  1 		    	   16.54
  2   		    	  1 		    	   3.92
  0   		    	  1 		    	   0.9
  0   		    	  1 		    	   0.92
  25   		    	  1 		    	   49.11
  1   		    	  1 		    	   1.72
  4   		    	  2 		    	   5.22
  5   		    	  3 		    	   4.95
  2   		    	  3 		    	   2.46
  2   		    	  3 		    	   6.94
  21   		    	  3 		    	   17.85
  4   		    	  1 		    	   8.74
  4   		    	  1 		    	   8.62
  4   		    	  1 		    	   11.94
  4   		    	  1 		    	   6.22
  2   		    	  2 		    	   4.16
  1   		    	  1 		    	   3.04
  4   		    	  1 		    	   6.59
  2   		    	  1 		    	   3.82
  0   		    	  1 		    	   0.92
  6   		    	  1 		    	   9.36
  12   		    	  2 		    	   13.87
